IQR_y,IQR_x,IQR_z,AutoCor_z,AutoCor_x,AutoCor_y,PartAutoCor_y,PartAutoCor_z,PartAutoCor_x,mean_x,mean_y,mean_z,energy_y,energy_x,energy_z,entropy_x,entropy_y,entropy_z,median_y,median_z,median_x,variance_x,variance_y,variance_z,stdDev_y,stdDev_z,stdDev_x,ar_x2,ar_y1,ar_x1,ar_y3,ar_z3,ar_y2,ar_z2,ar_x3,ar_z1,enDetx,enAppry,wtSumApr_z,wtSumApr_y,enratiox,squaredwtSumApr_x,wtSumDet_y,squaredwtSumDet_x,enDetz,enDety,enApprz,wtSumDet_z,wtSumApr_x,wtSumDet_x,squaredwtSumApr_y,enratioy,squaredwtSumApr_z,squaredwtSumDet_y,enratioz,enApprx,squaredwtSumDet_z,user
-252.0000000000001,-365.3333333333333,-277.33333333333326,0.9724171405881814,0.961193244419086,0.8797925889837057,0.9513942791433091,0.9595048868132886,0.8755845639696764,773.3333333333331,484.29333333333335,-281.38666666666677,1110991.3955555556,1487193.92,118273.17333333334,3.744780882416988,3.865892117950406,3.3740371097911988,800.0,556.0,-281.33333333333337,20192.653061224493,88765.62648526076,32231.688707482997,142.10085524452165,297.9356079512161,179.53185986749816,1.858347413655336,-1.1716470199337463,0.30870464015748444,1.7995346906880294,-0.9511816936949049,0.13805237267764126,1.3248545776534346,-0.4349428604813315,0.07610728875214379,165.93439131844315,259.2724864350671,150.84944665313014,27341.462205879845,17122.355004171848,-9948.521006773934,27534.22222222222,67222.22222222204,22755.55555555556,747555555.5555559,293175040.8888887,98973070.22222224,22.431723567800667,1111.3790112588356,0.02018368472011427,60.86458557961089,799.5975209788708,0.0761190273640421,67.63877914661416,465.78537737651,0.14521447523231168,28
-288.6666666666665,-462.0,-175.33333333333334,0.985905593764316,0.9884047579107225,0.8372598821295224,0.9550743406843717,0.9310412821480781,0.7830505683415672,884.32,336.32,-276.26666666666665,969053.6533333333,1538912.6399999997,274859.3066666667,3.861580229030242,3.895789076751668,3.605155017539181,937.3333333333333,256.0,-281.3333333333333,26013.86376417232,69935.78666666664,14452.680272108842,161.28813894447515,264.4537514702082,120.21930074704662,2.216829462919482,-1.8197918593706968,0.6054403282821519,1.914074020516474,-1.220926027421151,0.2952284961181222,1.8038017195301177,-1.2158002075345737,0.38670242487882217,-118.79393923933992,260.21529547664943,-64.11101482758062,31265.433436944382,11890.707632432985,-9767.501670790178,14111.999999999985,67711.99999999997,4110.222222222262,977527327.9999998,141388928.00000003,95404088.88888891,20.71435358500098,1270.6698286074686,0.016301916610156637,33.387689015231025,601.8153278946032,0.05547829619434063,42.395806920548694,423.2923234729294,0.1001572780075706,28
-635.3333333333333,-348.0,-295.99999999999994,0.9959852993261972,0.9932793852760512,0.9463668624530163,0.9556591139719857,0.9169663704404634,0.9357566372353572,694.8266666666667,328.96,-477.75999999999993,440680.4622222222,1600324.3377777778,552239.0044444442,3.489849894764805,3.89193640346818,3.3788292134346074,790.6666666666665,177.33333333333334,-549.3333333333333,94949.05324263038,99087.60380952379,38978.28136054421,308.138042511194,314.7818352597935,197.42918062065752,2.254035757054444,-1.8743523658971561,0.6130053590571629,1.9310177252078513,-1.2557552864016865,0.35346604266057047,1.9947804832348874,-1.5039417238086226,0.5002926983248359,301.6988933062603,-339.4112549695428,71.65348716023675,24565.83238746224,11630.492336956337,-16891.366788984247,91022.22222222223,115200.00000000001,5134.222222222213,603480120.8888887,135268352.00000006,285318272.0,22.317307683101518,1072.9260345222106,0.020800415839512868,29.77127623883278,640.120877473761,0.04650883495055686,50.25800102139625,728.2724764811588,0.06900988660759373,28
-393.33333333333337,-426.0,-307.99999999999994,0.9538712536726246,0.9361791202625698,0.8929073970526245,0.9514274904136684,0.9263472612872852,0.8876065164767578,266.88000000000005,762.24,-529.9200000000001,625265.2799999999,1426308.3377777783,1253534.2222222222,3.4401809045590026,3.725663528556905,3.6900884220837784,290.66666666666663,869.3333333333333,-500.0,69686.52045351478,133581.31083900225,50834.29732426303,263.98204570295076,365.4877711210079,225.46462543881032,1.9716648609760643,-1.2905789533885046,0.2869775223797546,2.0763137952837796,-1.4134190160614768,0.32531685293750373,1.771531930981772,-1.1122231423829103,0.31895171919876336,124.4507934888322,-71.65348716023644,124.45079348883283,9435.63288815329,26949.253644581702,-18735.501274318765,15487.99999999996,5134.222222222168,15488.000000000116,89031168.0,726262272.0000001,351019008.00000006,57.46403706280614,525.1031644670725,0.10943380453844041,94.50690744890319,1189.4988225672562,0.07945103068276439,77.82464619614761,809.4497884365651,0.09614511895353539,28
-308.6666666666665,-317.33333333333326,-484.6666666666667,0.9614292017569543,0.9689682043873374,0.9581821116068965,0.9382394387065689,0.9146626001057079,0.9008880674844327,705.2266666666667,720.6400000000001,-248.05333333333337,1557487.0044444446,1513611.448888889,412557.15555555536,3.7780077016091695,3.8281414159619485,3.357690482295889,746.6666666666665,673.3333333333333,-296.0,66701.99292517008,30049.686349206346,77060.2057142857,258.2672896926169,173.34845355297043,277.59720047991425,1.8150426528731658,-0.9450769770006858,0.12815191106185786,1.6314401112714876,-0.7325552754487541,0.0957781118413521,1.2749982154158457,-0.3027173348950801,-0.020293552419195338,-137.65012007098113,218.73169764703903,-458.20519420888274,24933.527913679252,25478.471539713682,-8770.009704796354,18947.555555555522,47843.5555555557,209951.99999999994,621680814.2222224,649152512.0000001,76913070.22222222,47.94515385080933,1059.7766137781637,0.045240811344083295,35.05018624138191,1047.0496114744942,0.03347519148784453,55.10265168049742,520.6367383630676,0.10583704072391337,28
-264.66666666666674,-193.33333333333331,-222.66666666666669,0.9233426968875839,0.953752403122843,0.934574080620874,0.8973845472959477,0.9297015245224876,0.9117594859743972,907.9466666666667,501.4933333333333,9.333333333333336,2159137.6355555546,1107951.7155555554,174246.4711111111,3.8536103998529523,3.857628751964472,3.667598837796384,914.6666666666667,522.6666666666666,9.333333333333332,23425.81115646258,16320.554376417234,22078.185941043088,153.05492855985585,127.75192513781244,148.58730073947467,2.282377647727536,-1.879135586459213,0.5973151090293269,2.0800681428786243,-1.479225183800624,0.3925234047458144,1.413074731743648,-0.4457887195762439,-0.0642426691004056,-49.02607016226722,103.70899457402689,-62.22539674441613,32100.762247786093,17730.466835992283,329.9831645537216,2403.555555555548,10755.555555555538,3871.9999999999936,1030458936.8888888,314369454.2222222,108888.88888888853,41.760374625820695,1301.1168125883241,0.03209579203172879,28.50465848866734,730.8672230834941,0.03900114492534983,40.12956792967278,204.54115586953262,0.19619312191268531,28
-225.33333333333326,-158.0,-88.00000000000004,0.907178821325612,0.9245837855133375,0.8685526011490736,0.9039066159940098,0.8947461320631387,0.8463149314759524,922.8266666666668,382.88,-133.22666666666666,1490665.8844444442,1268748.1599999997,168416.49777777775,3.845274648029233,3.8840405689817326,3.6603689874127485,918.6666666666667,376.0,-140.0,19408.518095238087,8459.055600907026,5198.936235827666,139.31445759589377,91.97312434024967,72.10364925458119,2.312702366007085,-1.954839157548867,0.6416401906866962,2.2450404435234903,-1.712645027061407,0.46335517892869815,1.9196978643342177,-1.3968991476125503,0.4345315714239757,39.59797974644749,-35.82674358011832,-98.05214032453456,32626.849692988882,13536.852219035267,-4710.273971743988,1568.000000000066,1283.555555555549,9614.222222222217,1064511320.8888887,183246368.00000003,22186680.888888884,42.424311688255145,1318.8855093095333,0.03216678884467026,24.97856859167252,556.0125977789432,0.044924465185595265,26.08975959175469,212.15072210315216,0.12297747249273701,28
-190.66666666666674,-140.66666666666663,-66.66666666666667,0.903832470730182,0.9067416767433576,0.7881101085942216,0.8917029210543097,0.8819616830035911,0.7641602648179376,950.5066666666667,371.84,-129.1733333333333,1523844.0533333335,1302433.6355555556,200085.12000000008,3.869780124875151,3.890725809075152,3.735562243290764,960.0,374.66666666666663,-130.66666666666666,14748.490884353734,6119.955736961452,2602.4228571428575,121.44336492519356,78.23014596024638,51.01394767260085,2.323671658911238,-1.991496078901401,0.6660458822450915,2.3042458181948224,-1.9461547317749375,0.6395816905501188,1.6960998125541442,-1.1076189770760756,0.3912414727327107,-60.33977866125281,33.94112549695427,-7.5424723326565015,33605.485478151066,13146.529275820292,-4566.966997423515,3640.8888888889796,1151.9999999999993,56.88888888888881,1129328654.222222,172831232.00000003,20857187.555555556,37.24561122542572,1354.417089870522,0.027499365966348138,22.92713094421833,536.6557845687598,0.04272222829507348,24.041445695113914,194.6644748735058,0.12350196773569598,28
-193.33333333333326,-127.33333333333326,-52.0,0.8993610807215764,0.9317240128099769,0.8772043976899616,0.850470710996904,0.9187236751337717,0.8752594698386574,933.2799999999997,347.94666666666666,-144.26666666666668,1394208.2133333334,1290037.2622222228,188249.10222222228,3.8584299905129327,3.8802642610187252,3.742313035696703,928.0,329.33333333333337,-152.0,15879.978956916097,8718.001632653062,2909.8231292517003,126.01578852237563,93.37023954479855,53.94277643254656,2.2309620701362243,-1.8452854453739898,0.6096855730702131,2.2825116815255,-1.8795439648356564,0.5919569135008047,1.6803000294045427,-0.9692776534533687,0.2734418741009076,145.1925924036388,26.39865316429791,35.82674358011849,32996.43083728905,12301.772374562763,-5100.596914958964,21080.888888889192,696.8888888888962,1283.5555555555613,1088764447.9999998,151333603.55555555,26016088.8888889,40.929641527327796,1330.9668064981938,0.030751812387428867,23.393826346092087,508.5998208589714,0.04599652887526068,21.40986273244698,216.4962201363648,0.09889254749557068,28
-196.66666666666663,-104.0,-107.99999999999997,0.8932786040970164,0.938802021113451,0.8444639024289968,0.884642488737765,0.8910850836401508,0.8147880209137909,907.3066666666666,329.33333333333326,-166.23999999999995,1248493.297777778,1272773.0488888884,168895.5022222222,3.8430219487291026,3.873501756554371,3.6802401047009488,884.0,310.6666666666667,-172.0,19066.0673015873,7942.458049886623,4265.102222222221,138.07993084292627,89.1204693091695,65.30775009309555,2.3391419574126098,-2.0470768319256067,0.7075587878160909,2.1606978893194397,-1.6185249240835038,0.4576606489068864,1.8128066128123268,-1.2435059608996073,0.42099157695343536,-41.48359782961148,-99.93775840769874,32.05550741379007,32078.134830788127,11643.691663538482,-5877.471565222582,1720.8888888889464,9987.55555555556,1027.55555555555,1029006734.2222224,135575555.55555555,34544671.99999999,45.21710590768349,1296.817519931004,0.034867747553325175,23.493923564284536,481.59748984211103,0.048783318143927376,24.553614805156485,251.05416856837002,0.09780205979121098,28
