IQR_z,IQR_y,IQR_x,AutoCor_x,AutoCor_y,AutoCor_z,PartAutoCor_y,PartAutoCor_z,PartAutoCor_x,mean_y,mean_z,mean_x,energy_z,energy_y,energy_x,entropy_y,entropy_z,entropy_x,median_x,median_y,median_z,variance_x,variance_z,variance_y,stdDev_x,stdDev_y,stdDev_z,ar_z2,ar_y1,ar_x2,ar_x3,ar_z3,ar_y2,ar_z1,ar_x1,ar_y3,wtSumApr_y,squaredwtSumApr_x,squaredwtSumApr_z,enApprx,wtSumDet_x,enDetx,squaredwtSumDet_z,enratioz,enApprz,squaredwtSumDet_y,enDety,enratioy,wtSumDet_y,wtSumApr_x,wtSumApr_z,enDetz,wtSumDet_z,enratiox,enAppry,squaredwtSumDet_x,squaredwtSumApr_y,user
-429.3333333333337,-413.33333333333337,-298.66666666666663,0.7851341178237169,0.8599780259447038,0.88050450976713,0.5942655178201819,0.7866650812846293,0.8591575053483099,1472.426666666667,-65.97333333333333,-165.92000000000004,2197048.1066666674,3178224.5688888896,3178224.5688888896,3.687948568066545,3.755493562692248,3.755493562692248,1576.0,-37.333333333333336,-1.3333333333333348,165448.95709750577,108199.41877551022,144048.55582766444,406.7541728089655,328.93680057954936,379.53729174833984,1.2688559952176162,-0.05952699782526105,-0.22449180868613802,1.6143676907816835,-0.9342664337248505,0.09447576524081858,1.710739240362513,-0.9821264745713083,0.13025400107909788,-712.7636354360401,243.24473272817238,148.9638285699661,52058.14403999522,-2332.5095688740253,-5866.157856723598,508032.0000000003,59168.000000000015,22190.222222222248,2710050360.88889,5440600.888888891,34411808.0,212.39928855289935,2148.3126112266705,0.09886796150752983,125.29304316946998,452.85480626306224,0.2766737626202593,132.80374827374246,565.4708008966217,0.2348551827312148,20
-366.66666666666697,-551.3333333333333,-245.33333333333331,0.8840801304644836,0.9294372249045835,0.8664184955241657,0.8683703736675674,0.8923859983873385,0.8520556638981336,1435.0933333333335,0.21333333333332122,-228.69333333333324,1628992.071111111,3056529.1377777774,3056529.1377777774,3.6904664024436094,3.8271312225381067,3.8271312225381067,1428.0,-36.0,-215.99999999999997,38602.4083446712,151227.74494331062,67254.72943310661,196.4749560240979,388.88011641547143,259.33516813788793,2.285990567836624,-1.96471655072245,0.6784383301723464,2.3224057910712417,-2.057242465391111,0.6973757164258483,1.982420440431504,-1.4689796077286703,0.405085716534013,-162.1631551521158,-411.0647421297796,-26.398653164297826,50738.21138178033,7.542472332656246,-8085.530340607777,26296.888888889178,168974.2222222222,696.8888888888916,2574366094.2222233,56.88888888888495,65375800.88888892,67.18094968069444,2046.9814828451943,0.032819519982817104,105.3653959640767,534.1391246149682,0.19726208230866607,91.97178311247906,477.45339272249635,0.1926298661070245,20
-1442.6666666666663,-458.00000000000006,-718.0,0.9846960435618196,0.9628345111732757,0.9519430586953184,0.9720124436608313,0.9508019303877081,0.910068328837726,904.5866666666662,400.8533333333333,361.75999999999993,1156835.3422222226,1816301.866666667,1816301.866666667,3.317993617962685,3.653471428721642,3.653471428721642,1221.3333333333335,530.6666666666666,430.66666666666663,556441.3358730159,156860.7898412699,208216.41287981858,745.9499553408499,396.05654879230303,456.30736667274897,2.3753842141911488,-2.022731755408214,0.6373908983533696,2.071907058919501,-1.3845994088566322,0.2941149649557897,1.8934044566561536,-1.356547661115157,0.44613876786708984,337.5256368863784,-188.56180831641365,-627.910821693654,31981.96830854675,14172.305513061578,12790.147458102272,113923.55555555534,35555.555555555926,394271.9999999998,1022846296.8888887,200854243.55555558,163587872.0,90.00464185560405,1648.962782411349,0.05458257931327377,73.78720154004426,789.5374510855497,0.09345624002837721,96.07034459764945,812.7824145079256,0.1181993395561004,20
-271.3333333333333,-324.6666666666667,-262.6666666666665,0.9553471925712191,0.9608875570160632,0.8044717039942779,0.9199752692872053,0.9470723688291711,0.7986464199513166,172.58666666666667,468.53333333333353,876.1066666666665,497746.84444444446,812979.413333333,812979.413333333,3.3755426824484704,3.7343686691378055,3.7343686691378055,197.33333333333331,481.33333333333337,876.0,46429.18167800453,52637.38775510205,42378.80018140589,215.47431790820113,229.42839352421498,205.86111867325963,2.409155365894163,-2.107386523917234,0.6911237276315115,2.0417799101447853,-1.5006649400001042,0.4471225101928238,2.1435280907828718,-1.8206312603078292,0.6720402872017655,-207.41798914805415,115.022703073012,-160.27753706895064,6101.860117119114,16565.154860596856,30975.048252137105,43022.222222222306,13230.222222222283,25688.888888888847,37232696.88888889,274404355.55555564,959453614.222222,47.550487788127775,385.1135705505874,0.12347133787091952,47.769818458473914,734.8022137509749,0.0650104443951269,91.83018143411358,1268.7613837475071,0.07237781872181291,20
-269.33333333333337,-116.6666666666666,-199.33333333333337,0.9047589300462658,0.8389286961109904,0.8143338863547708,0.8969885173695011,0.8028262946446634,0.8133396198973522,481.27999999999986,296.85333333333335,876.1066666666662,1141752.6755555556,271183.5733333333,271183.5733333333,3.8090105037733304,3.8100577175830543,3.8100577175830543,498.66666666666674,305.33333333333337,858.6666666666665,29990.963083900228,7461.569886621309,17701.5031292517,173.17899146230246,86.38037906041689,133.04699594222976,2.535506728074482,-2.3953810601967485,0.8583885151642716,2.3601066963518305,-2.108058918516913,0.7474202904847871,1.6788863553278903,-0.9246264489051375,0.23513647083629063,-56.56854249492403,-90.50966799187803,39.59797974644562,17015.81758247308,10495.350250891534,30975.048252137116,3200.000000000026,8191.999999999991,1567.9999999999172,289538048.0,110152376.88888897,959453614.2222226,53.995884616844215,720.5051067750242,0.07494170979374375,34.678972174952236,435.5064280683913,0.07962907075508492,56.338027417840436,1251.657603162924,0.04501073398625543,20
-299.33333333333337,-288.66666666666663,-295.33333333333337,0.9392845273496134,0.9558617383013638,0.8616413104396067,0.903260432229956,0.9463707876678565,0.852019844870012,361.4933333333332,436.74666666666656,815.2533333333333,756603.8044444448,459653.191111111,459653.191111111,3.497152941554836,3.7073113163226035,3.7073113163226035,377.33333333333337,352.0,850.6666666666665,43150.558911564614,40715.69414965986,41986.91410430839,207.72712608507493,201.78130277520725,204.9070865155922,2.3524815445899456,-2.1286604353024066,0.7609505602353286,2.317708564221898,-2.030651971963504,0.7144747669678764,1.7710813124593638,-1.0178877107652535,0.23155815151308468,120.67955732250428,-103.70899457402714,7.389644451905042e-13,12780.719367686448,15441.32648303103,28823.558019246848,14563.555555555597,10755.555555555591,5.460684512557097e-25,163346787.5555555,238434563.55555546,830797496.8888893,52.05125678918171,585.8503411471418,0.08884736106368256,41.928616586871655,677.8938363293573,0.061851302283416065,81.49012210077981,1185.2973072890477,0.06875078649015066,20
-248.0,-148.66666666666674,-283.33333333333326,0.953991251428939,0.8261585090636298,0.8214625503129727,0.9169887056008893,0.8249813142156984,0.7902359813534806,203.68000000000004,657.5466666666667,727.9466666666664,116320.4977777778,738151.0399999998,738151.0399999998,3.305025389166083,3.842761863773638,3.842761863773638,172.0,656.0,713.3333333333333,23239.949931972795,8425.967165532877,31748.78621315192,152.44654778633983,91.79306708860358,178.18189081147366,2.3442045266622475,-2.021333504144646,0.670456186051068,2.2733710928089605,-1.9672594115696858,0.6901467370657981,1.8050119752237899,-1.1438726057981676,0.3315889575554959,24.513035081133552,9.428090415821202,182.9049540669203,7201.175459603801,23247.78534733052,25736.801217107164,600.8888888888841,88.88888888889961,33454.222222222226,51856928.000000015,540459523.5555556,662382936.8888888,33.19330588470447,356.958808703625,0.09298917711332946,40.03376352807991,937.8952132893692,0.04268468690406705,68.18432534110914,1057.0672721155347,0.06450329807737797,20
-238.66666666666657,-172.66666666666652,-246.0000000000001,0.8777387598356323,0.8444352149068276,0.8218897495315536,0.8754219117796272,0.8091432021452395,0.7833112620835673,402.45333333333326,610.2400000000001,706.8799999999999,265528.9600000001,490365.51111111103,490365.51111111103,3.637969724031378,3.8717475055053785,3.8717475055053785,386.66666666666663,605.3333333333333,713.3333333333333,22999.028390022675,10018.644172335595,21012.851519274383,151.65430554396625,100.09317745149065,144.9581026340866,2.5251468332886837,-2.406089778441144,0.8825256703763729,2.493001324191706,-2.335538278219091,0.8403713382373452,1.681571387909526,-0.7985346065721602,0.10610198697189793,-52.797306328595425,109.36584882351923,30.169889330625438,14228.874055556498,21575.24210756394,24991.982074257336,2787.5555555555425,11960.888888888863,910.2222222221866,202460856.88888884,465491072.00000006,624599168.0,52.670548380158955,605.1787174050324,0.08703304803250003,38.121210194151296,873.4809849739783,0.04364286212285086,60.070477126640355,1018.3002482350457,0.05899092849162774,20
-288.0,-205.33333333333348,-243.99999999999994,0.8792216527235199,0.8605050073660504,0.8224695223820471,0.8572428575466805,0.856130440935649,0.8162873966339615,489.6533333333335,631.4666666666665,619.3066666666668,276346.0977777777,436446.0799999999,436446.0799999999,3.4373415340406988,3.855529168612376,3.855529168612376,482.66666666666663,620.0,600.0,28442.090521541937,14356.60770975057,21259.19201814059,168.64782987498515,119.81906238053513,145.80532232446313,2.5253816208388367,-2.3827518915961727,0.8533421009334472,2.462096477745133,-2.2974273230059725,0.8362304895019037,1.4957938984287293,-0.46559551006366684,-0.04368320573085949,118.79393923933986,56.56854249492363,67.88225099390883,17311.859621529846,22325.71810466326,21895.797181701837,14111.99999999997,3199.999999999981,4608.0000000000355,299700483.5555555,498437688.88888896,479425934.2222221,58.43225897472121,729.282484516269,0.08012294305063306,42.90931004908944,907.6332103027326,0.047276046713603005,63.09132710250717,897.0891792656713,0.07032893558492337,20
-511.33333333333326,-224.00000000000023,-353.9999999999999,0.9615069430858821,0.9154161121100063,0.8800238046234226,0.9279421984528162,0.8727081596070887,0.8613329157019619,286.0266666666667,576.5333333333335,718.4533333333334,228835.3422222222,718642.9866666667,718642.9866666667,3.4433354355220147,3.7810197266343137,3.7810197266343137,357.33333333333337,610.6666666666666,720.0,80401.35981859408,44204.69841269842,49381.32317460319,283.551335420227,210.24913415445596,222.21908823186902,2.3265288195273244,-2.02423784202324,0.6828052382292658,2.2512106331923136,-1.951018272928928,0.6896117969010811,1.7421431730613435,-0.9335580818469597,0.1813982416707064,333.75440072005085,339.4112549695433,-96.16652224137027,10112.569780009211,20383.531479004218,25401.16119830395,111392.00000000028,115200.00000000032,9247.999999999964,102264067.55555555,415488355.5555559,645218990.2222222,53.96031463543884,564.1785690521909,0.09564403470002614,61.2846183348191,864.6772654194938,0.07087571373243771,76.75832202439031,1059.8329763589063,0.07242492330074145,20
