0,1,2
392.0,880.0,416.0
392.0,884.0,412.0
389.3333333333333,882.6666666666666,418.6666666666667
384.0,882.6666666666666,429.3333333333333
376.0,880.0,461.3333333333333
373.3333333333333,880.0,456.0
378.6666666666667,874.6666666666666,458.6666666666667
384.0,872.0,464.0
384.0,869.3333333333334,482.6666666666667
376.0,869.3333333333334,490.6666666666667
370.6666666666667,869.3333333333334,477.3333333333333
368.0,866.6666666666666,477.3333333333333
370.6666666666667,864.0,480.0
373.3333333333333,864.0,480.0
376.0,861.3333333333334,474.6666666666667
376.0,864.0,477.3333333333333
373.3333333333333,858.6666666666666,482.6666666666667
373.3333333333333,856.0,493.3333333333333
373.3333333333333,853.3333333333334,498.6666666666667
376.0,853.3333333333334,490.6666666666667
370.6666666666667,856.0,493.3333333333333
368.0,858.6666666666666,488.0
368.0,856.0,496.0
370.6666666666667,856.0,496.0
362.6666666666667,858.6666666666666,490.6666666666667
354.6666666666667,864.0,498.6666666666667
352.0,866.6666666666666,498.6666666666667
357.3333333333333,866.6666666666666,506.6666666666667
360.0,864.0,498.6666666666667
360.0,866.6666666666666,496.0
360.0,866.6666666666666,490.6666666666667
360.0,866.6666666666666,490.6666666666667
362.6666666666667,864.0,493.3333333333333
365.3333333333333,861.3333333333334,496.0
365.3333333333333,858.6666666666666,501.3333333333333
362.6666666666667,856.0,501.3333333333333
362.6666666666667,853.3333333333334,501.3333333333333
365.3333333333333,856.0,493.3333333333333
370.6666666666667,856.0,496.0
370.6666666666667,856.0,496.0
370.6666666666667,856.0,498.6666666666667
368.0,858.6666666666666,501.3333333333333
368.0,861.3333333333334,496.0
368.0,864.0,496.0
370.6666666666667,864.0,488.0
370.6666666666667,861.3333333333334,485.3333333333333
368.0,858.6666666666666,482.6666666666667
365.3333333333333,858.6666666666666,485.3333333333333
362.6666666666667,858.6666666666666,488.0
362.6666666666667,861.3333333333334,490.6666666666667
360.0,858.6666666666666,493.3333333333333
360.0,856.0,506.6666666666667
360.0,850.6666666666666,506.6666666666667
357.3333333333333,853.3333333333334,504.0
360.0,861.3333333333334,509.3333333333333
362.6666666666667,866.6666666666666,504.0
368.0,869.3333333333334,485.3333333333333
368.0,869.3333333333334,472.0
370.6666666666667,872.0,464.0
370.6666666666667,874.6666666666666,482.6666666666667
370.6666666666667,874.6666666666666,480.0
365.3333333333333,872.0,496.0
368.0,872.0,498.6666666666667
368.0,872.0,496.0
370.6666666666667,872.0,488.0
365.3333333333333,869.3333333333334,480.0
